product/rec_name,from_location/rec_name,to_location/rec_name,quantity,uom/rec_name,planned_date,effective_date,state,tpl_sku
[WCR761] Pink Grapefruit & Lime Deo Refill,Stord - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCR3777] Deo Refill: Island Paradise,Stord - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCC3774] Deo Case: Disney Stitch,Stord - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WSRP1823] AMZ UK Mens Refill trio,FBA UK - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WSRP5876UK] Amazon UK: Aqua RO + 3 AP Refills 2026,FBA UK - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WSRP2585-US] AMZ US Aqua/Pink Grapefruit,FBA USA - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WCRS216] Fresh Cotton & Sea Salt - Sensitive - initial_delivery,Airbox (EU) - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCRS3209] Deo Refill: Wild Seduction Sensitive,Airbox (EU) - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WMIN507] Thunderstorm Mini Deodorant,Airbox (EU) - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WSRP1486] AMZ UK Deo Pink/Cotton,FBA UK - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WCC59] Pink Deodorant Case,Stord - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCR3777] Deo Refill: Island Paradise,Stord - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCR3776] Deo Refill: Enchanted Bloom,Stord - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WSRP1093-US] US Refill variety pack,FBA USA - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WCR3207] Deo Refill: Cotton Cloud,Stord - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCR549] Cherry Blossom Deodorant Refill,Stord - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCR1179] Coconut Dreams Refill (TARGET),Stord - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCR348] Mint & Aloe Vera - initial_delivery,Stord - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
"[WSRP3149-EU] AMZ EU Mini 3: Cot, Coco, Cherry",FBA GE - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WSRP1825-US] AMZ Bee Full Monty,FBA USA - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WSRP573-US] US Fresh Cotton 40g Refill3Pck,FBA USA - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WSRP1823-US] AMZ US Men Refill Trio,FBA USA - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WCC1880] Skull & Roses Deodorant Case,Stord - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WSRP1823-US] AMZ US Men Refill Trio,FBA USA - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WCR86] Cedar & Sandalwood - initial_delivery,Stord - Storage Zone,Reserved Inventory,2.0,u,2026-06-18,,assigned,
"[WSRP3149-US] AMZ US Mini 3: Cot, Coco, Cherry",FBA USA - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WSRP1823] AMZ UK Mens Refill trio,FBA UK - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WCR1818] Cola Deodorant Refill,Stord - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCC3774] Deo Case: Disney Stitch,Stord - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCR3207] Deo Refill: Cotton Cloud,Stord - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCR1103] Vanilla Bean & Buttercream Deo Refill,Stord - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[W_ENGRAVED_DEO] Personalised Case Deodorant,Stord - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WSRP573-US] US Fresh Cotton 40g Refill3Pck,FBA USA - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WSRP1823] AMZ UK Mens Refill trio,FBA UK - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WSRP1825-US] AMZ Bee Full Monty,FBA USA - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WSRP1823] AMZ UK Mens Refill trio,FBA UK - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WSRP965] Amazon UK Black Bundle,FBA USA - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WSRP1093] Refill variety pack,FBA UK - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WSRP1093-US] US Refill variety pack,FBA USA - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WSRP1093-US] US Refill variety pack,FBA USA - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WSRP2585-US] AMZ US Aqua/Pink Grapefruit,FBA USA - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WSRP1825-US] AMZ Bee Full Monty,FBA USA - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WCC1981] EBW Pink Heart Deo Case,Airbox UK - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCC746] Retail Ombre 2024 Deodorant Case,Airbox UK - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WSRP1823] AMZ UK Mens Refill trio,FBA UK - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WSRP1093-EU] EU Refill variety pack,FBA GE - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WSRP965-EU] Amazon EU Black Bundle,FBA GE - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WSRP575-US] US Coconut 40g Refill 3 Pack,FBA USA - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WSRP573-US] US Fresh Cotton 40g Refill3Pck,FBA USA - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WSRP1093-EU] EU Refill variety pack,FBA GE - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WSRP1823] AMZ UK Mens Refill trio,FBA UK - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WSRP575] Coconut 40g Refill 3 Pack,FBA UK - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WSRP1093] Refill variety pack,FBA UK - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WSRP1486] AMZ UK Deo Pink/Cotton,FBA USA - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WSRP572] Fresh Cotton 40g Refill 2 Pack,FBA UK - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WSRP5885UK] Amazon UK: Men Forest Green + 3 AP Refills 2026,FBA UK - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WSRP1823-US] AMZ US Men Refill Trio,FBA USA - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
"[WSRP3149-US] AMZ US Mini 3: Cot, Coco, Cherry",FBA USA - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WSRP1100-US] US Cherry Blossom Refill Trio,FBA USA - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WSRP1092-US] US Aqua + refill variety pack,FBA USA - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WSRP573-US] US Fresh Cotton 40g Refill3Pck,FBA USA - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WSRP5876UK] Amazon UK: Aqua RO + 3 AP Refills 2026,FBA UK - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WSRP575-US] US Coconut 40g Refill 3 Pack,FBA USA - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WSRP2903-US] AMZ Black & Honey Starter,FBA USA - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WSRP1093-US] US Refill variety pack,FBA USA - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WSRP1825-US] AMZ Bee Full Monty,FBA USA - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WSRP5876UK] Amazon UK: Aqua RO + 3 AP Refills 2026,FBA UK - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WSRP1824-US] AMZ Black Full Monty,FBA USA - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WSRP1823] AMZ UK Mens Refill trio,FBA UK - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WSRP572] Fresh Cotton 40g Refill 2 Pack,FBA UK - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
"[WSRP3149-US] AMZ US Mini 3: Cot, Coco, Cherry",FBA USA - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WSRP573-US] US Fresh Cotton 40g Refill3Pck,FBA USA - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WSRP2903-US] AMZ Black & Honey Starter,FBA USA - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
